,City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,1610220991,-54.8,-68.3,13.0,47,75,4.63
1,Busselton,AU,1610220986,-33.65,115.3333,19.44,80,92,2.24
2,Cabo San Lucas,MX,1610221022,22.8909,-109.9124,23.89,46,1,4.12
3,Hithadhoo,MV,1610220743,-0.6,73.0833,27.09,77,100,5.12
4,Vanavara,RU,1610221503,60.34,102.2797,-21.9,90,100,2.89
5,Tiksi,RU,1610221043,71.6872,128.8694,-27.83,88,100,3.42
6,Punta Arenas,CL,1610221503,-53.15,-70.9167,12.0,58,75,4.12
7,Quirinópolis,BR,1610221292,-18.4483,-50.4517,32.58,45,99,1.11
8,Longyearbyen,SJ,1610221503,78.2186,15.6401,-5.0,74,75,7.72
9,Port Hawkesbury,CA,1610221503,45.6169,-61.3485,0.56,93,90,4.12
10,Saint-Augustin,CA,1610221504,51.226,-58.6502,-0.25,96,100,5.76
11,Chabahar,IR,1610221504,25.2919,60.643,16.53,42,0,3.57
12,Chui,UY,1610221500,-33.6971,-53.4616,22.46,56,95,5.23
13,Zyryanovsk,KZ,1610221507,49.7386,84.2719,-24.54,78,77,0.08
14,Hilo,US,1610221051,19.7297,-155.09,23.0,73,90,2.06
15,Porto-Novo,BJ,1610221319,6.4965,2.6036,28.0,89,20,5.14
16,Hobart,AU,1610220985,-42.8794,147.3294,14.0,77,75,2.57
17,Samur,RU,1610221508,41.8253,48.486,7.22,64,0,2.06
18,Yellowknife,CA,1610220991,62.456,-114.3525,-12.0,92,75,3.6
19,San Ramon,US,1610221382,37.7799,-121.978,14.44,33,1,1.07
20,Rikitea,PF,1610221033,-23.1203,-134.9692,25.67,75,100,5.91
21,San Quintín,MX,1610221509,30.4833,-115.95,18.11,52,0,4.7
22,Bredasdorp,ZA,1610220992,-34.5322,20.0403,19.0,72,28,2.57
23,Temanggung,ID,1610221510,-7.3162,110.1755,13.33,89,90,1.09
24,Buncrana,IE,1610221510,55.1333,-7.45,7.0,93,75,4.63
25,Norman Wells,CA,1610221060,65.282,-126.8329,-17.0,85,40,0.73
26,Boulder City,US,1610221241,35.9786,-114.8325,14.0,21,1,7.72
27,Saldanha,ZA,1610221032,-33.0117,17.9442,19.0,72,0,5.66
28,Qaanaaq,GL,1610220986,77.484,-69.3632,-18.92,77,2,1.76
29,Lagoa,PT,1610220988,39.05,-27.9833,13.44,58,99,2.55
30,Rundu,NA,1610221511,-17.9333,19.7667,22.5,80,94,1.54
31,Cape Town,ZA,1610220793,-33.9258,18.4232,22.22,68,0,4.12
32,San Patricio,US,1610221078,28.017,-97.5169,14.0,67,40,4.63
33,New Norfolk,AU,1610220998,-42.7826,147.0587,12.78,70,15,0.72
34,Trat,TH,1610221512,12.5,102.5,20.27,69,100,3.36
35,Playas,EC,1610221512,-2.6333,-80.3833,25.74,74,19,7.26
36,Port Elizabeth,ZA,1610220992,-33.918,25.5701,22.0,88,20,9.77
37,Atuona,PF,1610221000,-9.8,-139.0333,25.66,74,86,8.15
38,Mitzic,GA,1610221513,0.7821,11.549,21.75,92,6,1.2
39,Chita,RU,1610221513,52.0333,113.55,-15.0,66,58,4.0
40,Ponta do Sol,PT,1610221001,32.6667,-17.1,11.67,75,65,0.89
41,Lebu,CL,1610221055,-37.6167,-73.65,15.75,61,0,4.07
42,Anjiang,CN,1610221514,27.3194,110.1031,1.3,81,73,0.93
43,Castro,BR,1610221042,-24.7911,-50.0119,23.13,89,97,3.32
44,Vostok,RU,1610221514,46.4856,135.8833,-28.32,87,100,1.66
45,Jamestown,US,1610220806,42.097,-79.2353,1.67,64,90,3.6
46,Karratha,AU,1610221062,-20.7377,116.8463,32.43,41,14,3.68
47,Airai,TL,1610221095,-8.9266,125.4092,16.7,100,100,0.14
48,Jalu,LY,1610221515,29.0331,21.5482,19.13,34,0,3.47
49,George Town,MY,1610220821,5.4112,100.3354,27.22,78,20,2.57
50,Arraial do Cabo,BR,1610221038,-22.9661,-42.0278,28.0,89,40,3.6
51,Atikokan,CA,1610221515,48.7555,-91.6216,-4.81,98,100,1.98
52,Härnösand,SE,1610221516,62.6323,17.9379,-1.0,74,90,7.2
53,Tuktoyaktuk,CA,1610221036,69.4541,-133.0374,-14.0,92,90,9.26
54,Cap-aux-Meules,CA,1610221516,47.3821,-61.8597,0.0,100,100,6.17
55,Hermanus,ZA,1610220995,-34.4187,19.2345,18.33,83,83,2.79
56,Ilulissat,GL,1610221076,69.2167,-51.1,-6.0,42,40,9.26
57,Kruisfontein,ZA,1610221517,-34.0033,24.7314,22.22,80,56,3.58
58,Inírida,CO,1610221517,3.8653,-67.9239,27.62,81,40,0.67
59,Mataura,NZ,1610220996,-46.1927,168.8643,11.67,91,72,0.89
60,Mehamn,NO,1610221109,71.0357,27.8492,-8.66,93,38,6.97
61,Roncesvalles,CO,1610221517,4.0108,-75.6049,15.51,87,81,1.54
62,San Cristobal,VE,1610221106,7.7669,-72.225,28.0,65,40,2.06
63,Redmond,US,1610220851,47.674,-122.1215,4.44,96,95,1.08
64,Boguchany,RU,1610221518,58.3814,97.4531,-19.8,90,100,3.29
65,Nuuk,GL,1610221018,64.1835,-51.7216,-3.0,59,40,1.03
66,Thompson,CA,1610220930,55.7435,-97.8558,-15.0,85,75,1.54
67,Haines Junction,CA,1610220990,60.7522,-137.5108,-6.0,86,100,0.51
68,Ketchikan,US,1610220996,55.3422,-131.6461,6.0,70,90,7.2
69,Awjilah,LY,1610221001,29.1081,21.2869,19.26,34,0,3.86
70,Upernavik,GL,1610221041,72.7868,-56.1549,-12.04,82,20,5.11
71,Khatanga,RU,1610220994,71.9667,102.5,-33.86,86,73,1.0
72,Aswān,EG,1610221519,24.0934,32.907,18.72,26,0,4.01
73,Mount Isa,AU,1610221082,-20.7333,139.5,25.0,53,0,2.06
74,Margate,GB,1610221042,51.3813,1.3862,2.78,98,0,3.12
75,Fortuna,US,1610220726,40.5982,-124.1573,12.78,76,1,4.12
76,Tasiilaq,GL,1610220993,65.6145,-37.6368,-9.0,48,20,0.51
77,Kalmunai,LK,1610221062,7.4167,81.8167,23.46,92,99,2.5
78,Gram,DK,1610221520,55.2895,9.0491,1.0,93,75,1.03
79,Dikson,RU,1610221034,73.5069,80.5464,-21.4,85,100,3.37
80,Inhambane,MZ,1610221521,-23.865,35.3833,26.0,73,20,3.9
81,Port Keats,AU,1610221521,-14.25,129.55,27.24,83,41,1.98
82,Sikasso,ML,1610221521,10.9167,-7.0,28.48,19,0,1.42
83,Emerald,AU,1610221088,-23.5333,148.1667,19.0,94,90,5.66
84,Saint-Leu,RE,1610221522,-21.15,55.2833,25.0,83,0,4.63
85,Puerto Ayora,EC,1610220985,-0.7393,-90.3518,29.0,58,0,6.69
